892420643555336193,32822,6848
892177421306343426,28373,5159
891815181378084864,21301,3404
891689557279858688,35780,7059
891327558926688256,34206,7569
891087950875897856,17225,2540
890971913173991426,10040,1615
890729181411237888,55176,15394
890609185150312448,23758,3546
890240255349198849,27083,5958
890006608113172480,26218,6004
889880896479866881,23769,4054
889665388333682689,40797,8164
889638837579907072,22969,3635
889531135344209921,12939,1848
889278841981685760,21385,4343
888917238123831296,24839,3676
888804989199671297,21760,3452
888554962724278272,16801,2829
888078434458587136,18517,2832
887705289381826560,25760,4422
887517139158093824,39404,9595
887473957103951883,58456,14691
887343217045368832,28654,8566
887101392804085760,26098,4870
886983233522544640,29477,6165
886736880519319552,10194,2562
886680336477933568,19115,3657
886366144734445568,17979,2559
886267009285017600,101,4
886258384151887873,23786,5150
886054160059072513,0,90
885984800019947520,27774,5491
885528943205470208,30632,5210
885518971528720385,17348,3041
885311592912609280,0,15095
885167619883638784,18647,3587
884925521741709313,65367,14644
884876753390489601,23626,4558
884562892145688576,20646,3804
884441805382717440,23079,4696
884247878851493888,61697,16553
884162670584377345,17373,2444
883838122936631299,18539,2792
883482846933004288,38927,8072
883360690899218434,19309,3007
883117836046086144,31543,5417
882992080364220416,20365,3175
882762694511734784,24052,4014
882627270321602560,23834,4947
882268110199369728,38096,9374
882045870035918850,24921,3983
881906580714921986,20764,2777
881666595344535552,43153,8728
881633300179243008,112,8
881536004380872706,42106,13084
881268444196462592,19793,4362
880935762899988482,14534,2271
880872448815771648,18142,3141
880465832366813184,24293,5098
880221127280381952,22940,3388
880095782870896641,23525,3567
879862464715927552,19092,2860
879674319642796034,281,9
879492040517615616,20046,2570
879415818425184262,90212,36580
879376492567855104,14407,2598
879130579576475649,0,5591
879050749262655488,19187,3853
879008229531029506,16258,2194
878776093423087618,16547,3350
878604707211726852,25644,5779
878404777348136964,0,1049
878316110768087041,0,5408
878281511006478336,6572,1049
878057613040115712,35813,5591
877736472329191424,67283,15461
877556246731214848,19268,3089
877316821321428993,23434,4248
877201837425926144,23146,4520
876838120628539392,17640,2741
876537666061221889,20283,3871
876484053909872640,16047,1955
876120275196170240,23882,3825
